row_id,language,batch_id,status,fail_reason,intent,input_preview,jsonl_line,created_at
123,ar,,kept,,empathetic,لم أكن أتوقع أن يكون الامتحان بهذا التعقيد,123,2026-08-23T22:53:06Z
124,ar,,kept,,excited,لقد اشتريت سيارة جديدة أخيراً!,124,2026-08-23T22:53:06Z
125,ar,,kept,,positive_ack,أحب قضاء الوقت في القراءة بهدوء,125,2026-08-23T22:53:06Z
126,ar,,kept,,no_filler,كيف الجو في الرياض بكرة؟,126,2026-08-23T22:53:06Z
127,ar,,kept,,thinking,يعني بتمطر بغزارة؟,127,2026-08-23T22:53:06Z
128,ar,,kept,,no_filler,طيب هل في زحمة في طريق الملك فهد؟,128,2026-08-23T22:53:06Z
129,ar,,kept,,empathetic,أحس الطريق بياخذ وقت طويل اليوم.,129,2026-08-23T22:53:06Z
130,ar,,kept,,no_filler,كم بيستغرق الوصول للمطار لو طلعت الحين؟,130,2026-08-23T22:53:06Z
131,ar,,kept,,agreeing,والله الجو اليوم يجنن، صح؟,131,2026-08-23T22:53:06Z
132,ar,,kept,,thinking,ليش الطريق مسكر عند المخرج ١٠؟,132,2026-08-23T22:53:06Z
133,ar,,kept,,thinking,هل ينصح باستخدام المترو بدلاً من السيارة؟,133,2026-08-23T22:53:06Z
134,ar,,kept,,surprised,مستحيل تكون درجة الحرارة ٤٥ في أكتوبر!,134,2026-08-23T22:53:06Z
135,ar,,kept,,no_filler,كيف أقدر أتفادى الزحمة في ساعة الذروة؟,135,2026-08-23T22:53:06Z
136,ar,,kept,,thinking,طيب وش أفضل طريق بديل؟,136,2026-08-23T22:53:06Z
137,ar,,kept,,empathetic,ياخي كل يوم نفس الزحمة، تعبت!,137,2026-08-23T22:53:06Z
138,ar,,kept,,no_filler,متى بتنتهي موجة الغبار هذه؟,138,2026-08-23T22:53:06Z
139,ar,,kept,,thinking,هل الغبار بيأثر على الرحلات الجوية؟,139,2026-08-23T22:53:06Z
140,ar,,kept,,agreeing,بصراحة الجو بارد زيادة اليوم.,140,2026-08-23T22:53:06Z
141,ar,,kept,,no_filler,هل أحتاج ألبس جاكيت لو طلعت الحين؟,141,2026-08-23T22:53:06Z
142,ar,,kept,,empathetic,بصراحة حاسس إني ضعت تماماً في مادة الإحصاء,142,2026-08-23T22:53:06Z
143,ar,,kept,,sad_acknowledge,بس المشكلة إن الوقت خلص وما لحقت أخلص المراجعة,143,2026-08-23T22:53:06Z
144,ar,,kept,,apologetic,أنا فعلاً اعتذر عن التأخير في تسليم البحث,144,2026-08-23T22:53:06Z
145,ar,,kept,,agreeing,ممكن بس تقاطعني لو حسيت إني طولت في الشرح؟,145,2026-08-23T22:53:06Z
146,ar,,kept,,sad_acknowledge,أنا بجد تعبت من الـ deadlines اللي ما بتخلص,146,2026-08-23T22:53:06Z
147,ar,,kept,,thinking,أرجو من سيادتكم التكرم بتمديد موعد الاختبار,147,2026-08-23T22:53:06Z
148,ar,,kept,,clarifying_question,بس أنا ما فهمت النقطة الثالثة في الـ lecture,148,2026-08-23T22:53:06Z
149,ar,,kept,,apologetic,أنا آسف جداً، نسيت أحضر الكتاب معي اليوم,149,2026-08-23T22:53:06Z
150,ar,,kept,,calming,حاسس إني فاشل لأني رسبت في المادة دي,150,2026-08-23T22:53:06Z
151,ar,,kept,,polite_interrupt,ممكن نوقف شوي عشان أكتب الملاحظات؟,151,2026-08-23T22:53:06Z
152,ar,,kept,,empathetic,بجد الموضوع صار معقد زيادة عن اللزوم,152,2026-08-23T22:53:06Z
153,ar,,kept,,polite_interrupt,أعتذر عن المقاطعة ولكن هناك خطأ في الصفحة الخامسة,153,2026-08-23T22:53:06Z
154,ar,,kept,,empathetic,بصراحة السعر مبالغ فيه جداً مقارنة بالمساحة,154,2026-08-23T22:53:06Z
155,ar,,kept,,excited,تخيل أن صاحب البيت وافق على تخفيض الإيجار ألف ريال!,155,2026-08-23T22:53:06Z
156,ar,,kept,,empathetic,بس والله الشقة صغيرة مرة وما تكفي عائلتي,156,2026-08-23T22:53:06Z
157,ar,,kept,,thinking,أريد عقد إيجار يضمن لي عدم زيادة السعر لمدة ثلاث سنوات,157,2026-08-23T22:53:06Z
158,ar,,kept,,surprised,يا إلهي! هل هذا هو السعر الحقيقي للغرفة الواحدة؟,158,2026-08-23T22:53:06Z
159,ar,,kept,,thinking,ممكن تطلع لي قائمة بالشقق التي تقبل الحيوانات الأليفة؟,159,2026-08-23T22:53:06Z
160,ar,,kept,,empathetic,لكن العقد يقول أن الصيانة على المستأجر وهذا غير عادل,160,2026-08-23T22:53:06Z
161,ar,,kept,,excited,أخيراً وجدت مكاناً قريباً من عملي وبسعر معقول!,161,2026-08-23T22:53:06Z
162,ar,,kept,,thinking,ماذا لو رفض المالك دفع التأمين في نهاية العقد؟,162,2026-08-23T22:53:06Z
163,ar,,kept,,empathetic,والله الوضع صار صعب والأسعار في السما,163,2026-08-23T22:53:06Z
164,ar,,kept,,thinking,هل تعتقد أن هذا الحي آمن للسكن مع أطفال؟,164,2026-08-23T22:53:06Z
165,ar,,kept,,surprised,تخيل أن الشقة فيها تسريب مياه في كل مكان!,165,2026-08-23T22:53:06Z
166,ar,,kept,,thinking,بدي أحول مبلغ لتركيا، كيف الطريقة؟,166,2026-08-23T22:53:06Z
167,ar,,kept,,thinking,طيب والعمولة كم بتكون؟,167,2026-08-23T22:53:06Z
168,ar,,kept,,thinking,ممكن تفتح لي حساب توفير جديد؟,168,2026-08-23T22:53:06Z
169,ar,,kept,,thinking,أي أوراق لازم أجيب معي؟,169,2026-08-23T22:53:06Z
170,ar,,kept,,agreeing,تمام، بس بدي الحساب يكون بدون رسوم سنوية.,170,2026-08-23T22:53:06Z
171,ar,,kept,,thinking,ليش العملية Pending لحد الآن؟,171,2026-08-23T22:53:06Z
172,ar,,kept,,empathetic,صار لي يومين عم بستنى!,172,2026-08-23T22:53:06Z
173,ar,,kept,,thinking,طيب، شو الحل هلا؟,173,2026-08-23T22:53:06Z
174,ar,,kept,,thinking,بدي أغير الـ PIN تبع الكرت.,174,2026-08-23T22:53:06Z
175,ar,,kept,,thinking,من وين بعملها بالضبط؟,175,2026-08-23T22:53:06Z
176,ar,,kept,,positive_ack,أوكي، رح جرب من الـ App.,176,2026-08-23T22:53:06Z
177,ar,,kept,,thinking,مرحبا، بدي أستفسر عن القرض الشخصي.,177,2026-08-23T22:53:06Z
178,ar,,kept,,thinking,كم نسبة الفائدة السنوية؟,178,2026-08-23T22:53:06Z
179,ar,,kept,,thinking,وهل ممكن تقسيط المبلغ على خمس سنين؟,179,2026-08-23T22:53:06Z
180,ar,,kept,,thinking,ممكن نطلع بكرة العصر؟,180,2026-08-23T22:53:06Z
181,ar,,kept,,hesitating,بس ما بعرف إذا أحمد بيقدر يجي,181,2026-08-23T22:53:06Z
182,ar,,kept,,thinking,شو رأيك نروح على الكافيه الجديد اللي فتح بالداون تاون؟,182,2026-08-23T22:53:06Z
183,ar,,kept,,thinking,هل يمكنك تحديد موعد مناسب للجميع؟,183,2026-08-23T22:53:06Z
184,ar,,kept,,thinking,أو يمكننا الذهاب إلى السينما إذا كان الفيلم لا يزال يعرض,184,2026-08-23T22:53:06Z
185,ar,,kept,,empathetic,ياخي والله ماني عارف شو ألبس!,185,2026-08-23T22:53:06Z
186,ar,,kept,,hesitating,بس خايف تكون الدنيا زحمة كتير هناك,186,2026-08-23T22:53:06Z
187,ar,,kept,,clarifying_question,يعني قصدك نأجل الطلعة للأسبوع الجاي؟,187,2026-08-23T22:53:06Z
188,ar,,kept,,positive_ack,أعتقد أن الساعة السادسة ستكون مناسبة,188,2026-08-23T22:53:06Z
189,ar,,kept,,hesitating,بس ما بعرف إذا سارة رح توافق على هاد المكان,189,2026-08-23T22:53:06Z
190,ar,,kept,,clarifying_question,شو قلت؟ ما سمعتك كويس,190,2026-08-23T22:53:06Z
191,ar,,kept,,thinking,ممكن تقترح لي مكان هادي شوي؟,191,2026-08-23T22:53:06Z
192,ar,,kept,,skeptical,بصراحة ما أعتقد إنها بتجيب نتيجة,192,2026-08-23T22:53:06Z
193,ar,,kept,,impatient,طيب والحل الحين؟,193,2026-08-23T22:53:06Z
194,ar,,kept,,negative_ack,لا مو معقول هذا التأخير,194,2026-08-23T22:53:06Z
195,ar,,kept,,thinking,أنا قلت لك من زمان إن المنهج صعب,195,2026-08-23T22:53:06Z
196,ar,,kept,,impatient,ليش ما اتصلتوا فيني أول؟,196,2026-08-23T22:53:06Z
197,ar,,kept,,negative_ack,ما أظن إن هذا الوقت مناسب للتدريس,197,2026-08-23T22:53:06Z
198,ar,,kept,,skeptical,شو يعني مو فاهمين المادة؟,198,2026-08-23T22:53:06Z
199,ar,,kept,,impatient,ما في داعي لكل هذا التعقيد,199,2026-08-23T22:53:06Z
200,ar,,kept,,negative_ack,مستحيل يوافق على هذا الشيء,200,2026-08-23T22:53:06Z
201,ar,,kept,,skeptical,هل أنت متأكد من هذا القرار؟,201,2026-08-23T22:53:06Z
202,ar,,kept,,negative_ack,هذا الكلام مو منطقي أبداً,202,2026-08-23T22:53:06Z
203,ar,,kept,,positive_ack,هل يمكن تقديم نصائح لتنسيق الحديقة المنزلية؟,203,2026-08-23T22:53:06Z
204,ar,,kept,,agreeing,أريد زراعة نباتات لا تحتاج الكثير من الماء,204,2026-08-23T22:53:06Z
205,ar,,kept,,positive_ack,مثل الصبار أو النباتات الصحراوية,205,2026-08-23T22:53:06Z
206,ar,,kept,,positive_ack,الوالدة تبي تغير ستايل المطبخ,206,2026-08-23T22:53:06Z
207,ar,,kept,,agreeing,تبغى شيء يكون كلاسيك بس عملي,207,2026-08-23T22:53:06Z
208,ar,,kept,,empathetic,بس خايفة من التكلفة العالية,208,2026-08-23T22:53:06Z
209,ar,,kept,,positive_ack,أبغى أسوي كوفي كورنر في الصالة,209,2026-08-23T22:53:06Z
210,ar,,kept,,thinking,بس ما أدري وين أحطه بالضبط,210,2026-08-23T22:53:06Z
211,ar,,kept,,agreeing,ممكن يكون جنب الشباك عشان الإضاءة,211,2026-08-23T22:53:06Z
212,ar,,kept,,sad_acknowledge,يؤسفني أن أبلغك أن أثاث المنزل قد تضرر بسبب الرطوبة,212,2026-08-23T22:53:06Z
213,ar,,kept,,agreeing,أعتقد أننا بحاجة إلى شركة متخصصة للإصلاح,213,2026-08-23T22:53:06Z
214,ar,,kept,,empathetic,لكن الميزانية لا تسمح حالياً,214,2026-08-23T22:53:06Z
215,ar,,kept,,positive_ack,أحتاج أشتري أير فراير جديدة للمطبخ,215,2026-08-23T22:53:07Z
216,ar,,kept,,thinking,بس محتارة بين الماركات الموجودة,216,2026-08-23T22:53:07Z
217,ar,,kept,,agreeing,أشوف تقييمات الناس في أمازون,217,2026-08-23T22:53:07Z
218,ar,,kept,,empathetic,ليش التأخير كل هذا؟,218,2026-08-23T22:53:07Z
219,ar,,kept,,thinking,هل يمكن التحويل لحساب آخر؟,219,2026-08-23T22:53:07Z
220,ar,,kept,,empathetic,أنا منزعج جداً من هذه الخدمة,220,2026-08-23T22:53:07Z
221,ar,,kept,,surprised,عجيب! كيف حدث هذا؟,221,2026-08-23T22:53:07Z
222,ar,,kept,,thinking,كيف أرفع شكوى مالية؟,222,2026-08-23T22:53:07Z
223,ar,,kept,,positive_ack,أنا موافق على هذا الحل,223,2026-08-23T22:53:07Z
224,ar,,kept,,surprised,بس أنا ما استلمت شي!,224,2026-08-23T22:53:07Z
225,ar,,kept,,positive_ack,أرجو معالجة الأمر بسرعة,225,2026-08-23T22:53:07Z
226,ar,,kept,,surprised,مستحيل! هل هذا صحيح؟,226,2026-08-23T22:53:07Z
227,ar,,kept,,thinking,هل هناك رسوم خفية؟,227,2026-08-23T22:53:07Z
228,ar,,kept,,positive_ack,أشكركم على تعاونكم,228,2026-08-23T22:53:07Z
229,ar,,kept,,clarifying_question,أنا لا أفهم هذه النقطة,229,2026-08-23T22:53:07Z
230,ar,,kept,,empathetic,يا ريت تحلوا الموضوع بسرعة,230,2026-08-23T22:53:07Z
231,ar,,kept,,thinking,أين وصل طلبي للاسترداد؟,231,2026-08-23T22:53:07Z
232,ar,,kept,,excited,هذا رائع جداً!,232,2026-08-23T22:53:07Z
233,ar,,kept,,thinking,كيف يمكنني دفع الفرق؟,233,2026-08-23T22:53:07Z
234,ar,,kept,,sad_acknowledge,أنا تعبت من المراجعات المستمرة بدون نتيجة,234,2026-08-23T22:53:07Z
235,ar,,kept,,surprised,بس أنا عندي allergy من البنسلين!,235,2026-08-23T22:53:07Z
236,ar,,kept,,thinking,هل يمكنني الحصول على نسخة من الأشعة؟,236,2026-08-23T22:53:07Z
237,ar,,kept,,calming,أنا خايف من عملية الـ surgery جداً,237,2026-08-23T22:53:07Z
238,ar,,kept,,apologetic,ليش التأخير؟ صار لي ساعة أنتظر في الـ waiting room!,238,2026-08-23T22:53:07Z
239,ar,,kept,,empathetic,أعتقد أنني أحتاج إلى استشارة نفسية,239,2026-08-23T22:53:07Z
240,ar,,kept,,positive_ack,أريد إلغاء الموعد لأنني مسافرة,240,2026-08-23T22:53:07Z
241,ar,,kept,,calming,يا دكتور أنا ماني قادر أتنفس كويس,241,2026-08-23T22:53:07Z
242,ar,,kept,,thinking,هل هناك insurance يغطي هذه التكاليف؟,242,2026-08-23T22:53:07Z
243,ar,,kept,,sad_acknowledge,أنا حزين لأن والدي لم يتحسن حاله,243,2026-08-23T22:53:07Z
244,ar,,kept,,apologetic,أبغى أغير الـ doctor لأن تعامله جاف,244,2026-08-23T22:53:07Z
245,ar,,kept,,thinking,أرجو إفادتي بموعد ظهور النتائج,245,2026-08-23T22:53:07Z
246,ar,,kept,,thinking,أنا أدوخ كل ما وقفت فجأة,246,2026-08-23T22:53:07Z
247,ar,,kept,,polite_interrupt,اسمعني، أنا قلت الموعد يكون الساعة ٨!,247,2026-08-23T22:53:07Z
248,ar,,kept,,skeptical,متأكد إن هذا هو الحل الصحيح؟,248,2026-08-23T22:53:07Z
249,ar,,kept,,negative_ack,شاشة الموت الزرقاء طلعت لي مرة ثانية,249,2026-08-23T22:53:07Z
250,ar,,kept,,clarifying_question,أنا الحين وين أروح في القائمة؟,250,2026-08-23T22:53:07Z
251,ar,,kept,,skeptical,ترا السعر غالي على خدمة زي كذا,251,2026-08-23T22:53:07Z
252,ar,,kept,,impatient,يا ليت تحل المشكلة بسرعة لأن عندي شغل,252,2026-08-23T22:53:07Z
